time,module,kind,amount
22.06.16-16:15:35.938, 41c8217b,dust,243
22.06.16-16:15:36.213, 41c82c24,dust,69
22.06.16-16:15:36.846, 41c8217b,dust,243
22.06.16-16:15:37.126, 41c82c24,dust,62
22.06.16-16:15:37.755, 41c8217b,dust,236
22.06.16-16:15:37.959, 41c82c24,dust,62
22.06.16-16:15:38.589, 41c8217b,dust,236
22.06.16-16:15:38.873, 41c82c24,dust,65
22.06.16-16:15:39.496, 41c8217b,dust,231
22.06.16-16:15:39.706, 41c82c24,dust,64
22.06.16-16:15:40.404, 41c8217b,dust,229
22.06.16-16:15:40.620, 41c82c24,dust,66
22.06.16-16:15:41.314, 41c8217b,dust,226
22.06.16-16:15:41.452, 41c82c24,dust,66
22.06.16-16:15:42.223, 41c8217b,dust,222
22.06.16-16:15:42.364, 41c82c24,dust,70
22.06.16-16:15:43.133, 41c8217b,dust,221
22.06.16-16:15:43.196, 41c82c24,dust,72
22.06.16-16:15:44.042, 41c8217b,dust,223
22.06.16-16:15:44.109, 41c82c24,dust,76
22.06.16-16:15:44.951, 41c8217b,dust,222
22.06.16-16:15:45.023, 41c82c24,dust,78
22.06.16-16:15:45.865, 41c8217b,dust,219
22.06.16-16:15:45.936, 41c82c24,dust,78
22.06.16-16:15:46.769, 41c8217b,dust,221
22.06.16-16:15:46.849, 41c82c24,dust,80
22.06.16-16:15:47.681, 41c8217b,dust,221
22.06.16-16:15:47.760, 41c82c24,dust,79
22.06.16-16:15:48.589, 41c8217b,dust,225
22.06.16-16:15:48.672, 41c82c24,dust,75
22.06.16-16:15:49.500, 41c8217b,dust,227
22.06.16-16:15:49.584, 41c82c24,dust,73
22.06.16-16:15:50.409, 41c8217b,dust,224
22.06.16-16:15:50.496, 41c82c24,dust,78
22.06.16-16:15:51.245, 41c8217b,dust,224
22.06.16-16:15:51.410, 41c82c24,dust,75
22.06.16-16:15:52.154, 41c8217b,dust,227
22.06.16-16:15:52.322, 41c82c24,dust,78
22.06.16-16:15:52.985, 41c8217b,dust,227
22.06.16-16:15:53.234, 41c82c24,dust,74
22.06.16-16:15:53.904, 41c8217b,dust,232
22.06.16-16:15:54.147, 41c82c24,dust,71
22.06.16-16:15:54.729, 41c8217b,dust,232
22.06.16-16:15:55.059, 41c82c24,dust,76
22.06.16-16:15:55.638, 41c8217b,dust,229
22.06.16-16:15:55.891, 41c82c24,dust,76
22.06.16-16:15:56.471, 41c8217b,dust,229
22.06.16-16:15:56.808, 41c82c24,dust,72
22.06.16-16:15:57.381, 41c8217b,dust,228
22.06.16-16:15:57.640, 41c82c24,dust,72
22.06.16-16:15:58.214, 41c8217b,dust,228
22.06.16-16:15:58.547, 41c82c24,dust,72
22.06.16-16:15:59.125, 41c8217b,dust,238
22.06.16-16:15:59.461, 41c82c24,dust,71
22.06.16-16:15:59.958, 41c8217b,dust,238
22.06.16-16:16:00.376, 41c82c24,dust,72
22.06.16-16:16:00.870, 41c8217b,dust,240
22.06.16-16:16:01.290, 41c82c24,dust,72
22.06.16-16:16:01.774, 41c8217b,dust,239
22.06.16-16:16:02.198, 41c82c24,dust,69
22.06.16-16:16:02.688, 41c8217b,dust,239
22.06.16-16:16:03.110, 41c82c24,dust,65
22.06.16-16:16:03.595, 41c8217b,dust,243
22.06.16-16:16:04.022, 41c82c24,dust,66
22.06.16-16:16:04.505, 41c8217b,dust,245
22.06.16-16:16:04.936, 41c82c24,dust,67
22.06.16-16:16:05.412, 41c8217b,dust,247
22.06.16-16:16:05.846, 41c82c24,dust,64
22.06.16-16:16:06.323, 41c8217b,dust,250
22.06.16-16:16:06.757, 41c82c24,dust,56
22.06.16-16:16:07.233, 41c8217b,dust,246
22.06.16-16:16:07.669, 41c82c24,dust,55
22.06.16-16:16:08.140, 41c8217b,dust,249
22.06.16-16:16:08.580, 41c82c24,dust,59
22.06.16-16:16:09.049, 41c8217b,dust,250
22.06.16-16:16:09.495, 41c82c24,dust,56
22.06.16-16:16:10.007, 41c8217b,dust,249
22.06.16-16:16:10.327, 41c82c24,dust,66
22.06.16-16:16:10.868, 41c8217b,dust,251
22.06.16-16:16:11.240, 41c82c24,dust,60
22.06.16-16:16:11.778, 41c8217b,dust,249
22.06.16-16:16:12.078, 41c82c24,dust,60
22.06.16-16:16:12.609, 41c8217b,dust,249
22.06.16-16:16:12.985, 41c82c24,dust,58
22.06.16-16:16:13.519, 41c8217b,dust,246
22.06.16-16:16:13.902, 41c82c24,dust,58
22.06.16-16:16:14.353, 41c8217b,dust,246
22.06.16-16:16:14.729, 41c82c24,dust,57
22.06.16-16:16:15.263, 41c8217b,dust,248
22.06.16-16:16:15.562, 41c82c24,dust,57
22.06.16-16:16:16.095, 41c8217b,dust,248
22.06.16-16:16:16.476, 41c82c24,dust,57
22.06.16-16:16:17.006, 41c8217b,dust,248
22.06.16-16:16:17.311, 41c82c24,dust,57
22.06.16-16:16:17.837, 41c8217b,dust,248
22.06.16-16:16:18.220, 41c82c24,dust,61
22.06.16-16:16:18.746, 41c8217b,dust,241
22.06.16-16:16:19.052, 41c82c24,dust,62
22.06.16-16:16:19.656, 41c8217b,dust,235
22.06.16-16:16:19.967, 41c82c24,dust,60
22.06.16-16:16:20.564, 41c8217b,dust,235
22.06.16-16:16:20.799, 41c82c24,dust,60
22.06.16-16:16:21.474, 41c8217b,dust,233
22.06.16-16:16:21.712, 41c82c24,dust,62
22.06.16-16:16:22.385, 41c8217b,dust,233
22.06.16-16:16:22.545, 41c82c24,dust,62
22.06.16-16:16:23.294, 41c8217b,dust,244
22.06.16-16:16:23.457, 41c82c24,dust,63
22.06.16-16:16:24.206, 41c8217b,dust,247
22.06.16-16:16:24.437, 41c82c24,dust,63
22.06.16-16:16:25.111, 41c8217b,dust,246
22.06.16-16:16:25.201, 41c82c24,dust,57
22.06.16-16:16:26.023, 41c8217b,dust,246
22.06.16-16:16:26.111, 41c82c24,dust,57
22.06.16-16:16:26.931, 41c8217b,dust,246
22.06.16-16:16:27.023, 41c82c24,dust,54
22.06.16-16:16:27.841, 41c8217b,dust,248
22.06.16-16:16:27.934, 41c82c24,dust,53
22.06.16-16:16:28.750, 41c8217b,dust,248
22.06.16-16:16:28.844, 41c82c24,dust,54
22.06.16-16:16:29.658, 41c8217b,dust,248
22.06.16-16:16:29.757, 41c82c24,dust,52
22.06.16-16:16:30.571, 41c8217b,dust,250
22.06.16-16:16:30.668, 41c82c24,dust,51
22.06.16-16:16:31.479, 41c8217b,dust,252
22.06.16-16:16:31.578, 41c82c24,dust,50
22.06.16-16:16:32.313, 41c8217b,dust,253
22.06.16-16:16:32.489, 41c82c24,dust,47
22.06.16-16:16:33.221, 41c8217b,dust,250
22.06.16-16:16:33.406, 41c82c24,dust,50
22.06.16-16:16:34.057, 41c8217b,dust,250
22.06.16-16:16:34.313, 41c82c24,dust,47
22.06.16-16:16:34.965, 41c8217b,dust,252
22.06.16-16:16:35.223, 41c82c24,dust,45
22.06.16-16:16:35.799, 41c8217b,dust,252
22.06.16-16:16:36.136, 41c82c24,dust,45
22.06.16-16:16:36.707, 41c8217b,dust,253
22.06.16-16:16:36.971, 41c82c24,dust,45
22.06.16-16:16:37.542, 41c8217b,dust,253
22.06.16-16:16:37.881, 41c82c24,dust,43
22.06.16-16:16:38.451, 41c8217b,dust,249
22.06.16-16:16:38.716, 41c82c24,dust,43
22.06.16-16:16:39.282, 41c8217b,dust,249
22.06.16-16:16:39.626, 41c82c24,dust,43
22.06.16-16:16:40.194, 41c8217b,dust,253
22.06.16-16:16:40.460, 41c82c24,dust,43
22.06.16-16:16:41.025, 41c8217b,dust,253
22.06.16-16:16:41.371, 41c82c24,dust,41
22.06.16-16:16:41.934, 41c8217b,dust,255
22.06.16-16:16:42.204, 41c82c24,dust,41
22.06.16-16:16:42.769, 41c8217b,dust,255
22.06.16-16:16:43.119, 41c82c24,dust,37
22.06.16-16:16:43.677, 41c8217b,dust,250
22.06.16-16:16:43.949, 41c82c24,dust,37
22.06.16-16:16:44.514, 41c8217b,dust,250
22.06.16-16:16:44.862, 41c82c24,dust,35
22.06.16-16:16:45.420, 41c8217b,dust,255
22.06.16-16:16:45.694, 41c82c24,dust,35
22.06.16-16:16:46.253, 41c8217b,dust,255
22.06.16-16:16:46.606, 41c82c24,dust,33
22.06.16-16:16:47.161, 41c8217b,dust,8
22.06.16-16:16:47.439, 41c82c24,dust,33
22.06.16-16:16:48.071, 41c8217b,dust,8
22.06.16-16:16:48.350, 41c82c24,dust,34
22.06.16-16:16:48.979, 41c8217b,dust,4
22.06.16-16:16:49.183, 41c82c24,dust,37
22.06.16-16:16:49.888, 41c8217b,dust,253
22.06.16-16:16:50.095, 41c82c24,dust,44
22.06.16-16:16:50.798, 41c8217b,dust,251
22.06.16-16:16:50.928, 41c82c24,dust,44
22.06.16-16:16:51.707, 41c8217b,dust,245
